test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.TestRawLocalFileSystemContract#testInputStreamClosedTwice@;@29@;@29@;@10856@;@10854@;@2@;@1628@;@1634@;@8@;@29m 55s
org.apache.hadoop.ha.TestZKFailoverController#testObserverExitGracefulFailover@;@62@;@66@;@51@;@0@;@3@;@4599@;@5208@;@43@;@41s
org.apache.hadoop.ha.TestZKFailoverController#testBecomingActiveFails@;@65@;@69@;@79@;@14@;@6@;@4589@;@6236@;@50@;@7m 22s
org.apache.hadoop.fs.TestFsShellCopy#testCopyNoParent@;@28@;@31@;@11151@;@11151@;@0@;@2788@;@2788@;@13@;@29m 55s
org.apache.hadoop.fs.sftp.TestSFTPFileSystem#testMkDirs@;@31@;@36@;@6102@;@6102@;@0@;@7511@;@7846@;@9@;@29m 48s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractRename#testRenameDirIntoExistingDir@;@30@;@30@;@10429@;@10429@;@0@;@1625@;@1630@;@6@;@29m 55s
org.apache.hadoop.fs.contract.sftp.TestSFTPContractSeek#testReadAtExactEOF@;@32@;@32@;@1308@;@0@;@1@;@6293@;@6422@;@13@;@29m 41s
org.apache.hadoop.fs.viewfs.TestViewFsWithAuthorityLocalFs#testInternalCreateMissingDir@;@36@;@36@;@12007@;@0@;@3@;@2179@;@2750@;@17@;@29m 54s
org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsByteArrays#testFailureWriteRecordAfterMetaBlock@;@32@;@32@;@4861@;@4543@;@1@;@2535@;@2563@;@7@;@29m 54s
org.apache.hadoop.fs.TestFSMainOperationsLocalFileSystem#testGetWrappedInputStream@;@30@;@30@;@11020@;@11019@;@1@;@2018@;@2423@;@9@;@29m 54s
org.apache.hadoop.io.TestSequenceFile#testSequenceFileWriter@;@32@;@32@;@8397@;@8317@;@4@;@2033@;@2598@;@11@;@29m 54s
org.apache.hadoop.io.TestSequenceFile#testCreateUsesFsArg@;@33@;@33@;@6278@;@6245@;@2@;@2305@;@2996@;@11@;@29m 50s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek#testBlockReadZeroByteFile@;@31@;@31@;@10043@;@0@;@1@;@1624@;@1637@;@9@;@29m 54s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractMkdir#testMkDirRmDir@;@28@;@28@;@11503@;@11503@;@0@;@1626@;@1631@;@3@;@29m 55s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractMkdir#testMkdirOverParentFile@;@29@;@29@;@10833@;@10831@;@1@;@1625@;@1631@;@8@;@29m 54s
org.apache.hadoop.security.token.delegation.web.TestDelegationTokenAuthenticationHandlerWithMocks#testValidDelegationTokenQueryString@;@24@;@24@;@9779@;@9779@;@0@;@1637@;@1684@;@6@;@29m 52s
org.apache.hadoop.io.file.tfile.TestTFileByteArrays#testFailureNegativeOffset@;@32@;@32@;@9882@;@9253@;@2@;@2205@;@2610@;@10@;@29m 54s
org.apache.hadoop.fs.TestSymlinkLocalFSFileSystem#testCreateLinkUsingAbsPaths@;@27@;@30@;@7521@;@7521@;@0@;@2450@;@2450@;@4@;@29m 54s
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testGetContentSummary@;@45@;@45@;@10342@;@0@;@7@;@2446@;@2527@;@21@;@29m 55s
